expr,min,lq,mean,median,uq,max,neval,cld
TransSimu 100,44.834,122707.917,305584.88398,216799.5005,440829.98,1492320.001,100,a 
TransSimu 200,52.25,12233080.896499999,11815451.85601,12360211.146499999,12554109.7295,13466215.75,100, b
