out_median_uk,out_25_uk,out_75_uk,new_median_uk,new_25_uk,new_75_uk
2048,1669.5,2373.5,464.5,377,547
2041,1660.25,2373.25,462.5,383.5,555.75
2045.5,1659.5,2373.25,468.5,395,571
2056,1652.75,2373.5,476.5,382.75,559.25
2081.5,1676.5,2388.75,480,403,569.75
2086.5,1684.5,2408.75,485,394.25,554.5
2113,1698.25,2437.75,494,402,572.75
2123,1712.5,2461.25,488.5,405,585.5
2139.5,1747.75,2487.5,502.5,407.75,583
2145,1748.25,2503.5,503,415.75,590.25
2166,1750.75,2522,501,414.25,580
2177.5,1778,2541.75,511.5,420,611.25
2197.5,1802,2538.25,510.5,435.25,595
2207.5,1831.5,2561,521.5,419.75,600.5
2206.5,1851.75,2597,523,436.25,623.75
2229.5,1871.5,2620.5,534.5,446.75,631.75
2267.5,1895.5,2643,548,442,628.75
2310.5,1913.75,2688.75,543.5,440.5,643
2337,1923.25,2727.5,565.5,454.25,649
2383,1947.25,2776.25,573,463.75,657.75
2411.5,1968.5,2812,586,469.75,675.5
2440.5,2000.25,2866,582.5,484.5,696.5
2477.5,2041.75,2906.5,597,484.5,701.25
2525.5,2075.5,2928.5,604.5,495.75,695.5
2583,2115.25,2971.75,613.5,514.5,719
2615.5,2139.25,3034.25,620.5,501.25,724.75
2669.5,2180.75,3102.25,652,524,745
2713,2216.25,3166.25,656.5,539.25,761
2790,2267.25,3219.25,664,530.75,771.25
2849.5,2320,3273.25,672.5,570.25,814.25
2916.5,2370.25,3318.75,702.5,561.5,818.5
2966,2412.5,3412.25,713.5,583.5,819.75
3027,2486.25,3497.5,741,597.25,843.5
3078.5,2545.5,3601.75,738.5,601,867.5
3134,2609,3661,767.5,617.5,904.25
3202,2659.25,3737.5,786.5,641.75,917.75
3278.5,2716.5,3833.75,802,655.75,923.5
3348.5,2779,3928.25,794,670.75,956.5
3450,2842.75,4012.75,852,665.75,966.25
3529.5,2904.5,4124.75,851.5,690.5,994.5
3591,2965.5,4219.5,883,724.25,1031.5
3660,3038.5,4335.75,892.5,710.25,1055.75
3751,3115.25,4418,908,743.5,1064
3860,3167.5,4520.75,946,764.25,1080
3984,3250.75,4626.5,966.5,793.75,1122
4079,3337,4713.5,1000.5,819.25,1139.75
4198.5,3447.25,4859.25,1032.5,849.75,1187
4314,3558.5,5004.75,1052.5,846.5,1224.25
4447.5,3676.25,5166.25,1095.5,889.5,1259.75
4621.5,3779.75,5321.25,1133,918.5,1303
4788,3907.75,5484,1145,947.25,1351.5
4957.5,4040.5,5666,1217.5,989.25,1388.75
5114.5,4196.25,5864.25,1261,1029,1452
5332.5,4353.5,6124.75,1317.5,1075.5,1529.5
5555,4550,6355,1400.5,1138,1570.75
5771.5,4732.25,6659.75,1413,1208,1666
6048,4952.25,6990.5,1487.5,1209.75,1749.25
6308.5,5173.75,7348.25,1607.5,1329.5,1849.75
6636.5,5445.75,7738.5,1646.5,1365.75,1940.25
6986,5762.5,8156.25,1791,1469,2060.25
7436.5,6078,8626,1879,1554,2182
7866.5,6443.25,9129.5,2044.5,1624.25,2335.5
8339,6819.25,9672.5,2137.5,1758,2472.5
8852,7238,10192.5,2241,1826,2622.25
9379.5,7655.5,10796.75,2369.5,1984.5,2768.25
9909.5,8078.75,11417.75,2554.5,2066.25,2931.25
10496,8575.5,12071.5,2686,2187.75,3101.25
11121.5,9077.5,12790.25,2848.5,2351.25,3314
11811.5,9643.5,13511.5,2987,2483.25,3425.75
12474,10169.75,14285.25,3204,2597.25,3633.75
10828.5,8866.25,12449.75,3383.5,2724,3820.5
9114.5,7460.5,10489,2456.5,2031.25,2864.75
7599.5,6253.75,8748.25,1912.5,1551.25,2223.25
6353,5232.5,7300.5,1516,1214.5,1732.75
5258.5,4368.25,6054.25,1193,994,1386.75
4330,3624.25,5028,948,795.5,1097.5
3577,2969.5,4158.5,751,624.5,897.25
2934.5,2439,3416,597,484.75,713
2421.5,2000.5,2791.5,486,406.75,577.5
2005,1635.75,2301.75,400.5,328.5,456
1611.5,1330,1894.25,322,257.5,366.5
1335,1073.25,1545,252.5,203.5,297.25
