out_median_us,out_25_us,out_75_us,new_median_us,new_25_us,new_75_us
183623,167729.25,199025.25,36497,33505.25,39680
189354.5,172871,205444,37665.5,34511,40781
195163,178126,211618.75,38695.5,35530,42078.25
201029.5,183437.25,217887,39766,36488.25,43116
206821,188735,224083,40936,37488.5,44296.75
212480.5,194171.25,230433.75,42111.5,38471.5,45510
218452.5,199226.5,236488.5,43175.5,39484,46779.5
224419.5,204717.5,242794.25,44147.5,40395.25,47829.75
230136,209790.75,248969.25,45326,41504,49155.25
235594.5,214861.5,255017,46514.5,42450,50186.25
240944.5,219549,260798.75,47282.5,43265.5,51069.5
245857,224194.75,265888.5,48132.5,44057,52133.25
250376.5,228242.75,270919.25,49075.5,44559,53121.75
254698.5,232239.75,275372.5,49723.5,45369.25,53846.25
258633.5,235937.5,279531.25,50347,46016.75,54256.5
262172.5,239138,283252,50989,46463,55026.75
265376.5,242268.75,286804.5,51294.5,47051.25,55511.75
268321.5,245081.75,289949.25,51675.5,47122.75,55864.75
270931,247262.25,292748.25,52363,47792.5,56594.25
273104,249098.25,295088,52438.5,48062.5,56625.25
274863.5,250681.75,297111.25,52608.5,48018.25,56900.5
276174.5,251899,298480.25,52644,48108.5,57037.5
277165.5,252652.75,299372,52915.5,48050,57426.5
277662.5,252875.75,300009.5,52796.5,48204.5,57140.75
277595,253063.25,300217.25,52761.5,48213,56936.25
277189,252669.25,299804,52674,47879,56990
276353.5,252055,298696.25,52306.5,47844.25,56660
275150,251036.25,297396.75,51895,47414,55965.5
273441,249585,295660.75,51690.5,47073.25,55650.5
271270.5,247965.5,293435.75,50921,46550.5,55156.75
269188,246052.75,291308.75,50588.5,46053,54518
267113.5,244157,288945.75,49926.5,45912.25,54022.5
264959.5,242397.75,286825.25,49473.5,45195.5,53572.5
263117,240952,284786.25,49154.5,44844,53077
261504.5,239472.25,283029.25,48899,44697.5,52735
260252,238011.25,281361.5,48679.5,44542.5,52740.75
258543.5,236501.25,279662.5,48489,44450,52503.75
256840,235078.75,277935,48172.5,43948.5,52295.5
254892,233197.25,275868.25,47801.5,43800,51782.25
252522,231047,273394.5,47694.5,43428.75,51321
250103,228813.25,270657.5,46952.5,42636.75,50853
247038.5,226112.75,267650.75,46286.5,42275.75,50031
243823.5,222972.5,264104.75,45548,41741.5,49395.5
240239,219588.75,260058.75,44936.5,40886,48553
236479.5,216061.25,255872,43913,40125,47739.5
232508.5,212449.25,251657.5,43009,39478.25,46761
